2024-04-09 08:00:25 101,__main__, (non_recurring),WARNING,Starting WebsocketProxy.py
2024-04-09 08:00:25 102,RobotControl.RobotControl, (non_recurring),DEBUG,Socket successfully created for polyscope:29999
2024-04-09 08:00:25 103,RobotControl.RobotControl, (non_recurring),DEBUG,Socket connected to polyscope:29999
2024-04-09 08:00:25 410,WebsocketProxy, (non_recurring),INFO,Polyscope is ready. The robot mode is: RUNNING
2024-04-09 08:00:25 412,RobotControl.RobotControl, (non_recurring),DEBUG,Power on robot
2024-04-09 08:00:25 521,RobotControl.RobotControl, (non_recurring),INFO,Brake release robot
2024-04-09 08:00:25 624,RobotControl.RobotControl, (non_recurring),INFO,Start interpreter mode and connect to backend socket
2024-04-09 08:00:25 625,RobotControl.RobotControl, (non_recurring),DEBUG,Socket successfully created for polyscope:30002
2024-04-09 08:00:25 626,RobotControl.RobotControl, (non_recurring),DEBUG,Socket connected to polyscope:30002
2024-04-09 08:00:25 727,RobotControl.RobotControl, (non_recurring),DEBUG,Interpreter mode command sent
2024-04-09 08:00:26 729,RobotControl.RobotControl, (non_recurring),DEBUG,Socket successfully created for polyscope:30020
2024-04-09 08:00:26 732,RobotControl.RobotControl, (non_recurring),DEBUG,Socket connected to polyscope:30020
2024-04-09 08:00:27 434,RobotControl.RobotControl, (non_recurring),DEBUG,Delayed read: ack: 452: socket_open("172.18.0.2", 8000, "abcd") \n
2024-04-09 08:00:27 537,RobotControl.RobotControl, (non_recurring),DEBUG,		Variables applied to robot: __test__ = 2 __test2__ = "f" 
2024-04-09 08:00:27 777,WebsocketProxy, (non_recurring),INFO,ip_address of this container: 172.18.0.2
2024-04-09 08:00:27 778,WebsocketProxy, (non_recurring),INFO,server listening for robot connections
2024-04-09 08:00:27 881,WebsocketProxy, (non_recurring),INFO,########### We got a customer<<<<<<<<<<<<<
2024-04-09 08:00:27 882,WebsocketProxy, (non_recurring),INFO,Client connected: ('172.18.0.3', 49470)
2024-04-09 08:00:27 883,WebsocketProxy, (non_recurring),INFO,Start echoing back to ('172.18.0.3', 49470)
