2024-04-09 08:00:27 538,WebsocketProxy, (recurring),INFO,Starting websocket server
2024-04-09 08:00:27 776,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:27 884,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:28 984,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:30 086,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:31 188,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:32 292,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:33 395,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:34 498,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:35 601,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:36 704,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:37 806,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:38 909,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:40 011,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:41 115,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:42 217,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:43 320,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:44 424,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:45 528,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:46 632,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:47 734,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:48 837,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:49 940,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:51 043,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:52 146,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:53 249,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:54 352,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:55 456,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:56 558,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:57 660,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:58 764,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:00:59 865,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:00 968,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:02 070,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:03 174,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:04 276,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:05 379,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:06 481,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:07 584,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:08 687,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:09 793,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:10 895,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:11 999,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:13 102,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:14 206,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:15 309,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:16 413,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:17 516,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:18 619,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:19 722,undo.History, (recurring),INFO,There is no active command state.
2024-04-09 08:01:20 824,undo.History, (recurring),INFO,There is no active command state.
